"text","label"
"supply pills to Malleshwaram in the morning",1
"Where can I score tabs tomorrow?",1
"Catching a movie at Bellandur",0
"collect some tabs at Bellandur",1
"Did you call the electrician?",0
"Get green apples at Shivajinagar market",0
"Collect papers from Silk Board",0
"score some w33d at KR Puram",1
"Cash ready, bring powder to Koramangala",1
"Did you finish the project?",0
"Arrange hash at Cubbon Park after class",1
"buy h@sh to Kengeri before work",1
"See you tomorrow at Airport Road",0
"drop k3t to HSR Layout now",1
"Going shopping at Indiranagar",0
"Don't forget the office meeting",0
"Pick 🌿 from Jayanagar tmrw",1
"Pick up vegetables from Kengeri",0
"Get green apples at BTM market",0
"Collect papers from Shivajinagar",0
"Where can I bring w33d tmrw?",1
"Send mj via courier in the morning",1
"I'll drop by Silk Board now",0
"Pick 🥀 from Koramangala now",1
"Did you finish the project?",0
"Send mdma via courier at midnight",1
"Bro doob chahiye Commercial Street side",1
"supply molly near Whitefield",1
"Pick up vegetables from BTM",0
"Arrange molly at Airport Road tonight",1
"How's your day going?",0
"See you tomorrow at Silk Board",0
"Where can I grab ganja tomorrow?",1
"Pick 🥀 from Shivajinagar 2nite",1
"Pick me up near MG Road",0
"See you tomorrow at Whitefield",0
"Pick 🍄 from Commercial Street now",1
"Where can I drop md at midnight?",1
"Where can I bring charas 2nite?",1
"Drop grn at my place in Shivajinagar",1
"Need lsd from Electronic City",1
"Need k3t from Bellandur",1
"Where can I deliver brown sugar at midnight?",1
"collect ecstasy to MG Road 2nite",1
"I'll drop by Kengeri 2nite",0
"Did you finish the project?",0
"Pick 🥀 from Electronic City before work",1
"Let's play cricket in the park",0
"arrange dope near Airport Road",1
"Let's meet at Electronic City tonight",0
"arrng h@sh to Banashankari before work",1
"How's your day going?",0
"Where can I bring lsd tonight?",1
"Send maal via courier after class",1
"Collect papers from Whitefield",0
"Going to BTM for dinner",0
"How's your day going?",0
"arrange h@sh near Shivajinagar",1
"score md near Whitefield",1
"Bro ganjaa chahiye KR Puram side",1
"Cash ready, bring tabs to Malleshwaram",1
"Party at my place tmrw",0
"Need w33d from Kengeri",1
"drop maal to Banashankari this evening",1
"Going to KR Puram for dinner",0
"Collect papers from MG Road",0
"Arrange dope at Cubbon Park in the morning",1
"I'll drop by Cubbon Park before work",0
"See you tomorrow at Commercial Street",0
"I'll drop by BTM later",0
"Get green apples at Cubbon Park market",0
"Arrange stuff at KR Puram right away",1
"collect ecstasy near BTM",1
"Send LSD via courier tonight",1
"Let's meet at MG Road right away",0
"grab ganjaa to Koramangala right away",1
"Pick up vegetables from MG Road",0
"Did you finish the project?",0
"collect some molly at Koramangala",1
"Pick me up near Kengeri",0
"Arrange acid tabs at MG Road tomorrow",1
"Collect papers from Cubbon Park",0
"Send maal via courier in the morning",1
"arrng maal to Commercial Street tonight",1
"Send stuff via courier now",1
"score some xtc at BTM",1
"Drop grn at my place in Bellandur",1
"Get green apples at MG Road market",0
"Bro w33d chahiye Commercial Street side",1
"Did you finish the project?",0
"Where can I arrng kush later?",1
"Arrange charas at Electronic City tmrw",1
"Let's play cricket in the park",0
"Need grass from Electronic City",1
"How's your day going?",0
"grab LSD to KR Puram before work",1
"Send molly via courier this evening",1
"Don't forget the office meeting",0
"Did you finish the project?",0
"Did you finish the project?",0
"get dope near Electronic City",1
"Don't forget the office meeting",0
"Party at my place at midnight",0
"Where can I supply trip in the morning?",1
"grab grn to Rajajinagar now",1
"Pick up vegetables from Koramangala",0
"Pick 💊 from Commercial Street before work",1
"Need ganja from Indiranagar",1
"Where can I pick up charas at midnight?",1
"Family dinner at Shivajinagar",0
"Pick 🥀 from Jayanagar now",1
"Family dinner at Electronic City",0
"Bro hash chahiye Bellandur side",1
"Where can I deliver ecstasy tonight?",1
"Let's meet at BTM before work",0
"Pick up vegetables from Electronic City",0
"Did you call the electrician?",0
"Get green apples at Electronic City market",0
"Catching a movie at MG Road",0
"Cash ready, bring pot to Rajajinagar",1
"Cash ready, bring xtc to Cubbon Park",1
"How's your day going?",0
"Drop w33d at my place in Whitefield",1
"Pick up vegetables from Banashankari",0
"I'll drop by Koramangala tmrw",0
"Collect papers from Airport Road",0
"I'll drop by HSR Layout before work",0
"How's your day going?",0
"Get green apples at Silk Board market",0
"How's your day going?",0
"See you at college at midnight",0
"Send mdma via courier after class",1
"How's your day going?",0
"Going to Electronic City for dinner",0
"Drop powder at my place in Shivajinagar",1
"grab xtc to Cubbon Park tmrw",1
"pick up mdma to Jayanagar in the morning",1
"Catching a movie at HSR Layout",0
"Cash ready, bring k3t to Cubbon Park",1
"Collect papers from Cubbon Park",0
"Cash ready, bring ma@l to Majestic",1
"deliver charas to Koramangala in the morning",1
"Did you call the electrician?",0
"Catching a movie at Malleshwaram",0
"Let's meet at Shivajinagar later",0
"collect some w33d at BTM",1
"Don't forget the office meeting",0
"Drop acid at my place in KR Puram",1
"bring grass to Bellandur tmrw",1
"supply some md at Indiranagar",1
"get pills to Commercial Street 2nite",1
"Need dope from Malleshwaram",1
"Catching a movie at HSR Layout",0
"Drop grn at my place in Whitefield",1
"buy lsd near Jayanagar",1
"Going to Kengeri for dinner",0
"How's your day going?",0
"Did you call the electrician?",0
"Send trip via courier tonight",1
"See you tomorrow at Banashankari",0
"collect mdma near KR Puram",1
"Family dinner at Bellandur",0
"Let's play cricket in the park",0
"See you tomorrow at Bellandur",0
"Pick me up near Majestic",0
"Going to Commercial Street for dinner",0
"Get green apples at Airport Road market",0
"I'll drop by Majestic after class",0
"Catching a movie at Rajajinagar",0
"Going to Electronic City for dinner",0
"Don't forget the office meeting",0
"Going to Jayanagar for dinner",0
"Send kush via courier now",1
"Did you call the electrician?",0
"Send xtc via courier 2nite",1
"Party at my place at midnight",0
"Where can I score brown sugar this evening?",1
"Let's play cricket in the park",0
"Where can I pick up h@sh in the morning?",1
"Going shopping at Koramangala",0
"Bro maal chahiye Cubbon Park side",1
"Did you call the electrician?",0
"Don't forget the office meeting",0
"deliver weed near HSR Layout",1
"supply ganjaa to Koramangala tmrw",1
"Arrange dope at Shivajinagar right away",1
"Collect papers from Electronic City",0
"Send grass via courier before work",1
"Collect papers from MG Road",0
"Party at my place right away",0
"Drop kush at my place in Airport Road",1
"Drop hash at my place in Whitefield",1
"How's your day going?",0
"Arrange lsd at Silk Board this evening",1
"bring weed near Whitefield",1
"Collect papers from Malleshwaram",0
